0,354.6,2.4,0.46
1,354.6,2.4,0.46
2000,354.7,2.36,0.45
3000,354.7,2.41,0.47
4000,354.8,2.42,0.47
5000,354.8,2.38,0.46
6000,354.7,2.35,0.44
7000,354.8,2.35,0.48
8000,354.8,2.44,0.46
9000,354.8,2.37,0.47
10000,354.7,2.37,0.43
11000,354.7,2.36,0.38
12000,354.7,2.38,0.49
13000,354.7,2.36,0.51
14000,354.7,2.42,0.58
15000,354.7,2.33,0.56
16000,354.7,2.37,0.56
17000,354.7,2.38,0.57
18000,354.7,2.35,0.47
19000,354.8,2.42,0.55
20000,354.7,2.4,0.52
21000,354.7,2.42,0.43
22000,354.7,2.44,0.49
23000,354.7,2.44,0.48
24000,354.7,2.43,0.45
25000,354.7,2.41,0.47
26000,354.7,2.48,0.46
28000,354.7,2.45,0.45
29000,354.7,2.45,0.41
30000,354.8,2.42,0.55
31000,354.7,2.38,0.53
32000,354.7,2.41,0.54
33000,354.7,2.41,0.52
34000,354.7,2.42,0.49
35000,354.8,2.45,0.51
36000,354.7,2.43,0.44
37000,354.8,2.41,0.52
38000,354.7,2.38,0.48
39000,354.7,2.42,0.51
40000,354.7,2.41,0.48
41000,354.7,2.38,0.53
42000,354.7,2.38,0.52
43000,354.7,2.43,0.46
44000,354.8,2.46,0.51
45000,354.8,2.41,0.47
46000,354.8,2.41,0.48
47000,354.8,2.42,0.52
48000,354.8,2.38,0.53
49000,354.8,2.35,0.51
50000,354.7,2.36,0.48
51000,354.8,2.38,0.47
52000,354.8,2.4,0.52
53000,354.7,2.38,0.44
54000,354.8,2.37,0.47
55000,354.8,2.42,0.49
56000,354.8,2.4,0.43
57000,354.8,2.37,0.48
58000,354.8,2.46,0.46
59000,354.8,2.41,0.41
60000,354.8,2.45,0.45
61000,354.8,2.37,0.43
62000,354.8,2.42,0.46
63000,354.8,2.45,0.42
64000,354.8,2.45,0.44
65000,354.8,2.44,0.45
66000,354.8,2.42,0.47
67000,354.8,2.41,0.47
68000,354.8,2.43,0.48
69000,354.8,2.46,0.45
70000,354.7,2.44,0.42
71000,354.8,2.43,0.45
72000,354.8,2.46,0.4
73000,354.8,2.47,0.41
74000,354.8,2.46,0.38
75000,354.8,2.45,0.36
76000,354.8,2.48,0.38
77000,354.8,2.48,0.38
78000,354.8,2.46,0.44
79000,354.8,2.46,0.37
80000,354.8,2.35,0.44
81000,354.9,2.43,0.46
82000,354.8,2.41,0.43
83000,354.8,2.41,0.43
84000,354.8,2.45,0.44
85000,354.8,2.4,0.45
86000,354.8,2.35,0.44
87000,354.8,2.38,0.4
88000,354.8,2.42,0.41
89000,354.8,2.4,0.4
90000,354.8,2.37,0.53
91000,354.8,2.41,0.49
92000,354.9,2.4,0.46
93000,354.8,2.38,0.4
94000,354.8,2.41,0.36
95000,354.8,2.42,0.47
96000,354.8,2.43,0.48
97000,354.7,2.44,0.51
98000,354.8,2.4,0.52
99000,354.8,2.46,0.4
100000,354.8,2.52,0.38
101000,354.7,2.48,0.38
102000,354.8,2.46,0.4
103000,354.8,2.53,0.44
104000,354.8,2.48,0.38
105000,354.8,2.46,0.45
106000,354.8,2.5,0.44
107000,354.8,2.53,0.43
108000,354.8,2.49,0.45
109000,354.7,2.44,0.42
110000,354.8,2.45,0.45
111000,354.8,2.43,0.42
112000,354.8,2.48,0.43
113000,354.8,2.5,0.43
114000,354.8,2.43,0.42
115000,354.8,2.45,0.52
116000,354.8,2.46,0.47
117000,354.8,2.4,0.43
118000,354.9,2.43,0.54
119000,354.8,2.41,0.47
120000,354.8,2.44,0.49
121000,354.8,2.45,0.51
122000,354.8,2.41,0.48
123000,354.8,2.42,0.53
124000,354.8,2.45,0.47
125000,354.8,2.37,0.45
126000,354.8,2.35,0.49
127000,354.8,2.41,0.44
128000,354.8,2.45,0.48
129000,354.8,2.4,0.44
130000,354.8,2.37,0.43
131000,354.8,2.42,0.46
132000,354.8,2.43,0.42
133000,354.8,2.38,0.4
134000,354.9,2.37,0.44
135000,354.8,2.44,0.4
136000,354.8,2.43,0.43
137000,354.9,2.38,0.47
138000,354.8,2.41,0.43
139000,354.8,2.43,0.41
140000,354.8,2.44,0.45
141000,354.8,2.42,0.44
142000,354.8,2.45,0.41
143000,354.8,2.43,0.43
144000,354.8,2.45,0.4
145000,354.8,2.44,0.42
146000,354.8,2.44,0.43
147000,354.8,2.48,0.42
148000,354.8,2.45,0.4
149000,354.8,2.4,0.4
150000,354.8,2.41,0.43
151000,354.8,2.46,0.45
152000,354.8,2.44,0.44
153000,354.8,2.41,0.47
154000,354.8,2.44,0.42
155000,354.8,2.43,0.47
156000,354.8,2.41,0.43
157000,354.8,2.42,0.46
158000,354.8,2.4,0.45
159000,354.8,2.43,0.45
160000,354.8,2.44,0.43
