0,0,848.8,0,17.2,0,354.6,266.2,2.4,0.46,47.9485893,-97.1724243
0,1,851.2,0,20.65,0,354.6,266.2,2.4,0.46,47.9485855,-97.1724396
0,2000,854.2,0,-4.82,0,354.7,266.2,2.36,0.45,47.9485855,-97.1724396
0,3000,853.1,0,1.3,0,354.7,266.2,2.41,0.47,47.9485779,-97.1724396
0,4000,853,0,-6.84,0,354.8,266.2,2.42,0.47,47.9485779,-97.1724396
0,5000,853.4,0,-0.43,0,354.8,266.2,2.38,0.46,47.9485779,-97.1724396
0,6000,858.8,0,-6.75,0,354.7,266.2,2.35,0.44,47.9485741,-97.1724243
0,7000,856.1,0,-1.42,0,354.8,266.2,2.35,0.48,47.9485779,-97.1724396
0,8000,858.5,0,-0.05,0,354.8,266.2,2.44,0.46,47.9485741,-97.1724396
0,9000,859.6,0,5.51,0,354.8,266.2,2.37,0.47,47.9485741,-97.1724396
0,10000,860,0,12.25,0,354.7,266.2,2.37,0.43,47.9485779,-97.1724396
0,11000,860.7,0,1.03,0,354.7,266.2,2.36,0.38,47.9485779,-97.1724243
0,12000,853.2,0,-0.58,0,354.7,266.2,2.38,0.49,47.9485855,-97.1724396
0,13000,853.2,0,-53.55,0,354.7,266.2,2.36,0.51,47.9485855,-97.1724396
0,14000,853.9,0,-33.48,0,354.7,266.2,2.42,0.58,47.9485855,-97.1724396
0,15000,853.9,0,-19.37,0,354.7,266.2,2.33,0.56,47.9485855,-97.1724396
0,16000,853.4,0,-46.48,0,354.7,266.2,2.37,0.56,47.9485855,-97.1724396
0,17000,851.1,0,-54.04,0,354.7,266.2,2.38,0.57,47.9485931,-97.1724243
0,18000,851,0,-6.74,0,354.7,266.2,2.35,0.47,47.9485931,-97.1724243
0,19000,851,0,29.39,0,354.8,266.2,2.42,0.55,47.9485931,-97.1724243
0,20000,850.9,0,69.88,0,354.7,266.2,2.4,0.52,47.9485931,-97.1724396
0,21000,851.8,0,30.53,0,354.7,266.2,2.42,0.43,47.9485931,-97.1724243
0,22000,852.3,0,25.62,0,354.7,266.2,2.44,0.49,47.9485931,-97.1724243
0,23000,854.8,0,11.37,0,354.7,266.2,2.44,0.48,47.9485893,-97.1724396
0,24000,854.9,0,1.86,0,354.7,266.2,2.43,0.45,47.9485893,-97.1724396
0,25000,855,0,0.68,0,354.7,266.2,2.41,0.47,47.9485893,-97.1724396
0,26000,855.7,0,21.41,0,354.7,266.2,2.48,0.46,47.9485931,-97.1724396
0,28000,855.6,0,17.06,0,354.7,266.2,2.45,0.45,47.9485931,-97.1724396
0,29000,855.6,0,-1.8,0,354.7,266.2,2.45,0.41,47.9485931,-97.1724396
0,30000,851.1,0,-24.8,0,354.8,266.2,2.42,0.55,47.9485931,-97.1724396
0,31000,851.2,0,-67.24,0,354.7,266.2,2.38,0.53,47.9485931,-97.1724396
0,32000,851.2,0,-52.81,0,354.7,266.2,2.41,0.54,47.9485893,-97.1724396
0,33000,850.5,0,-50.97,0,354.7,266.2,2.41,0.52,47.9485931,-97.1724396
0,34000,848.8,0,-49.16,0,354.7,266.2,2.42,0.49,47.9485893,-97.1724396
0,35000,848.8,0,-3.57,0,354.8,266.2,2.45,0.51,47.9485893,-97.1724396
0,36000,848.6,0,22.19,0,354.7,266.2,2.43,0.44,47.9485893,-97.1724396
0,37000,850,0,21.93,0,354.8,266.2,2.41,0.52,47.9485893,-97.1724396
0,38000,849.9,0,6.9,0,354.7,266.2,2.38,0.48,47.9485893,-97.1724396
0,39000,849.2,0,0.9,0,354.7,266.2,2.42,0.51,47.9485893,-97.1724396
0,40000,849.3,0,-2.11,0,354.7,266.2,2.41,0.48,47.9485893,-97.1724396
0,41000,849.2,0,12,0,354.7,266.2,2.38,0.53,47.9485893,-97.1724396
0,42000,851.8,0,-8.59,0,354.7,266.2,2.38,0.52,47.9485893,-97.1724396
0,43000,851.1,0,-9.53,0,354.7,266.2,2.43,0.46,47.9485893,-97.1724396
0,44000,850.9,0,38.69,0,354.8,266.2,2.46,0.51,47.9485893,-97.1724396
0,45000,851.4,0,46.83,0,354.8,266.2,2.41,0.47,47.9485893,-97.1724396
0,46000,851.3,0,22.91,0,354.8,266.2,2.41,0.48,47.9485893,-97.1724396
0,47000,851.5,0,-5.24,0,354.8,266.2,2.42,0.52,47.9485893,-97.1724396
0,48000,851.6,0,-35.11,0,354.8,266.2,2.38,0.53,47.9485893,-97.1724396
0,49000,850.9,0,-59.99,0,354.8,266.2,2.35,0.51,47.9485893,-97.1724396
0,50000,851.2,0,-24.51,0,354.7,266.2,2.36,0.48,47.9485893,-97.1724396
0,51000,851.8,0,20.43,0,354.8,266.2,2.38,0.47,47.9485893,-97.1724396
0,52000,852.3,0,17.45,0,354.8,266.2,2.4,0.52,47.9485893,-97.1724396
0,53000,852.5,0,6.12,0,354.7,266.2,2.38,0.44,47.9485893,-97.1724396
0,54000,852.6,0,-50.14,0,354.8,266.2,2.37,0.47,47.9485893,-97.1724396
0,55000,852.9,0,-29.75,0,354.8,266.2,2.42,0.49,47.9485893,-97.1724396
0,56000,852.8,0,25.79,0,354.8,266.2,2.4,0.43,47.9485893,-97.1724396
0,57000,852.6,0,41.06,0,354.8,266.2,2.37,0.48,47.9485893,-97.1724243
0,58000,851.8,0,32.47,0,354.8,266.2,2.46,0.46,47.9485893,-97.1724396
0,59000,852,0,18.55,0,354.8,266.2,2.41,0.41,47.9485893,-97.1724396
0,60000,852,0,24.18,0,354.8,266.2,2.45,0.45,47.9485893,-97.1724396
